439,446
1199,126
712,243
215,532
549,113
1043,253
714,32
1020,353
607,385
270,305
275,386
810,522
1089,527
1119,600
1259,133
647,223
510,528
1134,262
1256,594
182,436
966,353
674,717
449,201
1080,298
719,74
256,218
819,62
176,319
1132,540
429,657
853,39
588,716
582,68
522,640
765,383
172,566
737,133
661,50
262,363
250,106
1008,78
191,507
680,659
1067,702
832,634
86,667
554,596
648,139
289,252
585,656
921,230
1261,442
160,77
981,543
1119,154
1142,305
256,468
1130,297
724,45
639,513
308,233
715,186
544,703
1056,541
351,553
331,48
1051,141
413,695
386,649
1044,360
764,388
875,551
753,479
749,303
1265,63
711,516
1072,49
1250,416
272,547
246,508
1103,178
703,357
542,449
429,49
743,417
85,450
48,82
1102,610
595,59
218,64
800,353
1234,471
964,436
762,405
1097,153
1198,565
72,423
94,92
284,45
1021,413
232,250
432,113
625,131
442,99
370,144
1148,394
179,278
486,710
919,630
617,621
308,273
198,115
103,3
413,152
608,549
437,622
618,490
862,670
401,692
33,550
1215,246
307,260
696,308
698,293
541,339
540,236
811,576
226,323
1174,644
682,72
815,594
1261,445
877,473
509,666
822,178
444,462
620,530
5,307
1222,707
1209,384
394,70
131,340
657,176
344,690
204,618
1181,202
309,350
1157,448
933,385
536,624
410,203
180,615
86,480
894,101
774,394
898,605
774,199
695,142
821,505
772,144
146,690
245,471
43,484
583,604
585,419
1008,54
135,617
923,194
291,618
189,575
128,308
933,612
798,209
991,544
487,439
599,451
198,175
333,55
457,576
584,514
42,110
638,393
138,489
275,308
427,88
467,183
1188,475
160,415
376,288
989,706
343,246
928,460
416,366
337,93
1006,588
901,537
769,17
706,222
634,702
192,474
404,177
857,598
282,129
1062,147
1223,208
813,535
1068,682
677,606
240,229
1017,117
9,363
961,210
264,693
323,9
553,258
378,330
828,95
67,340
967,180
662,25
512,554
22,493
867,93
363,384
1191,192
511,409
1225,17
1191,463
1225,408
988,562
357,673
951,87
728,143
1021,112
284,95
957,482
199,535
1030,128
1003,350
1094,338
922,359
404,230
261,516
810,234
563,243
1214,210
50,479
320,439
729,6
445,390
929,4
473,326
43,283
69,395
124,716
45,613
382,342
602,538
745,106
1055,481
493,8
444,98
69,701
1050,492
143,124
543,642
704,107
211,112
1170,468
210,395
437,535
322,424
1077,710
924,416
96,293
1060,449
747,96
720,293
1214,440
699,196
780,347
503,155
207,252
960,663
1007,639
402,52
119,663
681,570
76,308
448,151
1214,474
438,589
61,646
993,389
1062,550
886,77
839,222
1135,493
606,428
930,320
54,636
178,89
130,35
912,381
701,219
1029,180
174,670
922,632
551,154
716,300
936,296
43,425
641,172
855,207
446,701
101,300
14,13
849,33
1098,339
1157,591
502,4
886,211
1119,127
628,708
880,33
1196,507
396,678
567,668
996,697
962,529
466,624
1056,153
965,525
615,704
539,60
256,645
26,592
33,690
744,401
172,494
1273,709
864,323
1014,6
929,357
621,320
986,446
1044,259
1170,598
131,159
234,422
622,233
819,499
389,149
915,118
1273,1
138,702
1166,59
1104,665
219,461
908,346
264,186
760,594
1253,665
483,53
1213,295
58,18
902,293
541,438
1166,212
392,482
711,719
151,420
1018,666
891,521
835,437
741,532
760,204
253,127
791,236
933,0
1000,98
1219,117
331,579
470,357
1166,484
1256,610
51,465
825,404
602,698
694,78
446,16
594,674
122,409
997,256
950,591
781,433
621,445
742,36
870,711
798,665
796,279
1020,522
568,682
919,55
175,85
312,428
293,150
354,660
1190,345
163,38
789,396
890,535
477,106
1060,457
1181,295
813,481
921,161
231,186
150,262
1207,356
694,392
866,582
400,581
1019,238
402,68
310,271
28,170
1071,259
610,37
637,532
875,532
451,340
748,151
856,628
188,436
